label,model,prompt_id,prompt_category,run,input_tokens,output_tokens,total_tokens,cached_tokens,reasoning_tokens,thinking_overhead,latency_ms,usage_reported,timestamp,error
rhoai,vllm-inference/llama-32-3b-instruct,simple-qa,simple,1,44,81,125,0,0,0,2365,True,2026-03-04T15:25:16.551088+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,simple-qa,simple,2,44,69,113,0,0,0,2030,True,2026-03-04T15:25:18.924054+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,simple-qa,simple,3,44,73,117,0,0,0,2144,True,2026-03-04T15:25:20.959094+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,short-explanation,simple,1,52,207,259,0,0,0,5842,True,2026-03-04T15:25:23.112663+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,short-explanation,simple,2,52,213,265,0,0,0,6013,True,2026-03-04T15:25:28.959262+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,short-explanation,simple,3,52,192,244,0,0,0,5429,True,2026-03-04T15:25:34.977895+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,code-generation,code,1,75,436,511,0,0,0,12219,True,2026-03-04T15:25:40.416473+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,code-generation,code,2,75,403,478,0,0,0,11291,True,2026-03-04T15:25:52.643073+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,code-generation,code,3,75,476,551,0,0,0,13345,True,2026-03-04T15:26:03.943129+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,code-review,code,1,111,725,836,0,0,0,20316,True,2026-03-04T15:26:17.292204+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,code-review,code,2,111,1163,1274,0,0,0,32734,True,2026-03-04T15:26:37.613674+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,code-review,code,3,111,668,779,0,0,0,18759,True,2026-03-04T15:27:10.357167+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,reasoning-math,reasoning,1,91,476,567,0,0,0,13397,True,2026-03-04T15:27:29.126034+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,reasoning-math,reasoning,2,91,391,482,0,0,0,11023,True,2026-03-04T15:27:42.528599+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,reasoning-math,reasoning,3,91,382,473,0,0,0,10793,True,2026-03-04T15:27:53.557200+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,reasoning-architecture,reasoning,1,78,847,925,0,0,0,23838,True,2026-03-04T15:28:04.360304+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,reasoning-architecture,reasoning,2,78,671,749,0,0,0,18846,True,2026-03-04T15:28:28.205893+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,reasoning-architecture,reasoning,3,78,769,847,0,0,0,21597,True,2026-03-04T15:28:47.059735+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,long-input-summarize,long-context,1,380,199,579,0,0,0,5702,True,2026-03-04T15:29:08.664762+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,long-input-summarize,long-context,2,380,216,596,0,0,0,6179,True,2026-03-04T15:29:14.375967+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,long-input-summarize,long-context,3,380,198,578,0,0,0,5663,True,2026-03-04T15:29:20.564160+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,creative-writing,creative,1,61,317,378,0,0,0,8929,True,2026-03-04T15:29:26.236221+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,creative-writing,creative,2,61,319,380,0,0,0,9008,True,2026-03-04T15:29:35.169268+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,creative-writing,creative,3,61,364,425,0,0,0,10242,True,2026-03-04T15:29:44.185025+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,multi-step-analysis,reasoning,1,110,831,941,0,0,0,23359,True,2026-03-04T15:29:54.432593+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,multi-step-analysis,reasoning,2,110,712,822,0,0,0,20012,True,2026-03-04T15:30:17.802437+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,multi-step-analysis,reasoning,3,110,707,817,0,0,0,19989,True,2026-03-04T15:30:37.822922+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,data-extraction,structured,1,166,166,332,0,0,0,4763,True,2026-03-04T15:30:57.819283+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,data-extraction,structured,2,166,210,376,0,0,0,5981,True,2026-03-04T15:31:02.591180+00:00,
rhoai,vllm-inference/llama-32-3b-instruct,data-extraction,structured,3,166,166,332,0,0,0,4747,True,2026-03-04T15:31:08.579652+00:00,
